epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8450.4,0.69812,0.47043,1.02105,0.93807,0.89592,0.95192,0.7672,0.7527,0.47389,1.13522,0.001076,0.001076,0.001076
44,8645.18,0.69557,0.4716,1.01889,0.92409,0.88917,0.95108,0.77154,0.73731,0.49554,1.12502,0.001054,0.001054,0.001054
45,8840.13,0.69502,0.47012,1.01695,0.94502,0.87837,0.95298,0.77211,0.74529,0.48074,1.12307,0.001032,0.001032,0.001032
46,9036.29,0.69748,0.46656,1.01842,0.93418,0.88542,0.95342,0.77355,0.7521,0.47812,1.13209,0.00101,0.00101,0.00101
47,9231.54,0.67762,0.45272,1.00701,0.93634,0.88966,0.95376,0.77516,0.73925,0.46526,1.12036,0.000988,0.000988,0.000988
48,9427.31,0.68063,0.45394,1.00783,0.93206,0.89885,0.95272,0.77175,0.74322,0.47629,1.12976,0.000966,0.000966,0.000966
49,9625.15,0.66998,0.44825,1.00758,0.93862,0.8917,0.95473,0.77269,0.76206,0.46526,1.1427,0.000944,0.000944,0.000944
50,9822.2,0.67058,0.44801,1.00627,0.93315,0.89624,0.95065,0.77211,0.75249,0.47773,1.13664,0.000922,0.000922,0.000922
51,10018.3,0.67448,0.45152,1.00883,0.92316,0.90013,0.95449,0.77257,0.74874,0.47247,1.14064,0.0009,0.0009,0.0009
52,10213.8,0.6614,0.43676,0.99741,0.93859,0.89969,0.95688,0.77588,0.74403,0.46113,1.13028,0.000878,0.000878,0.000878
53,10410.7,0.66591,0.43475,1.00099,0.94029,0.8931,0.95319,0.77712,0.7385,0.46068,1.12972,0.000856,0.000856,0.000856
54,10608,0.65561,0.43638,0.99752,0.94053,0.9047,0.95498,0.78216,0.74076,0.45628,1.1237,0.000834,0.000834,0.000834
55,10803.8,0.66284,0.42863,0.9954,0.9322,0.90938,0.95457,0.78042,0.73837,0.45248,1.1223,0.000812,0.000812,0.000812
56,10999.9,0.64428,0.41898,0.98911,0.92479,0.91359,0.95601,0.78245,0.7396,0.45255,1.12646,0.00079,0.00079,0.00079
57,11197,0.64594,0.42452,0.99075,0.92694,0.91085,0.95615,0.77934,0.7382,0.46247,1.12459,0.000768,0.000768,0.000768
58,11394.5,0.64742,0.41759,0.99052,0.93181,0.9094,0.95538,0.77873,0.74757,0.45537,1.13121,0.000746,0.000746,0.000746
59,11591.6,0.63616,0.41238,0.98163,0.92073,0.91661,0.95877,0.78374,0.74947,0.4538,1.12941,0.000724,0.000724,0.000724
60,11788.4,0.6372,0.41293,0.98791,0.93126,0.90815,0.95771,0.78685,0.73585,0.45238,1.12876,0.000702,0.000702,0.000702
61,11984.1,0.62758,0.39889,0.97859,0.92704,0.91254,0.95779,0.7852,0.73057,0.44544,1.12467,0.00068,0.00068,0.00068
62,12178.5,0.62749,0.40122,0.98204,0.93925,0.9094,0.96046,0.79011,0.72883,0.44299,1.1232,0.000658,0.000658,0.000658
