epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5002.58,0.81678,0.83549,1.15003,0.81154,0.6229,0.73384,0.5385,0.92917,0.99542,1.2742,0.0011882,0.0011882,0.0011882
43,5120.59,0.80368,0.83729,1.14061,0.82957,0.61575,0.74595,0.55446,0.88683,0.99512,1.2367,0.0011684,0.0011684,0.0011684
44,5239.06,0.80505,0.82905,1.14291,0.82242,0.64891,0.75243,0.57161,0.83959,0.96512,1.18109,0.0011486,0.0011486,0.0011486
45,5356.98,0.79114,0.81262,1.13339,0.8338,0.64371,0.75562,0.56933,0.84995,0.97127,1.19479,0.0011288,0.0011288,0.0011288
46,5474.88,0.77797,0.7993,1.12676,0.83974,0.6221,0.75546,0.5663,0.88467,0.96212,1.23459,0.001109,0.001109,0.001109
47,5593.63,0.77245,0.77355,1.11283,0.77861,0.64483,0.74705,0.56749,0.85166,1.03263,1.19018,0.0010892,0.0010892,0.0010892
48,5711.76,0.78344,0.80256,1.13046,0.81455,0.63491,0.75059,0.56269,0.86086,0.95645,1.20067,0.0010694,0.0010694,0.0010694
49,5829.96,0.76497,0.78883,1.11736,0.80275,0.64532,0.75276,0.56443,0.86291,0.97906,1.19834,0.0010496,0.0010496,0.0010496
50,5949.06,0.75942,0.7615,1.11336,0.81643,0.63738,0.74111,0.55397,0.85986,0.97805,1.20201,0.0010298,0.0010298,0.0010298
51,6067.16,0.75556,0.76797,1.10563,0.83692,0.6261,0.75085,0.57165,0.85582,1.00968,1.19544,0.00101,0.00101,0.00101
52,6184.8,0.75704,0.76863,1.11016,0.78454,0.65492,0.75553,0.57427,0.85369,0.95784,1.19714,0.0009902,0.0009902,0.0009902
53,6303.9,0.74671,0.76741,1.09997,0.8378,0.63688,0.75732,0.56571,0.87199,0.96451,1.22525,0.0009704,0.0009704,0.0009704
54,6421.79,0.74522,0.74778,1.10163,0.78953,0.65733,0.75417,0.5692,0.84632,0.97295,1.19955,0.0009506,0.0009506,0.0009506
55,6539.89,0.74728,0.77203,1.10317,0.8323,0.62387,0.74035,0.54986,0.90428,0.98475,1.24899,0.0009308,0.0009308,0.0009308
56,6659.3,0.72623,0.72108,1.08708,0.76751,0.67399,0.76217,0.57388,0.8629,0.9605,1.2149,0.000911,0.000911,0.000911
57,6777.87,0.73918,0.73852,1.09681,0.80574,0.61768,0.74178,0.56695,0.87164,1.03545,1.20529,0.0008912,0.0008912,0.0008912
58,6896.19,0.72535,0.72167,1.09485,0.80785,0.63955,0.75107,0.57149,0.88048,0.98914,1.20408,0.0008714,0.0008714,0.0008714
59,7014.95,0.72458,0.71997,1.08696,0.85619,0.61329,0.7508,0.57218,0.88112,0.94355,1.21455,0.0008516,0.0008516,0.0008516
60,7133.91,0.70927,0.70717,1.07806,0.83078,0.63171,0.75385,0.57465,0.86581,0.92539,1.20539,0.0008318,0.0008318,0.0008318
61,7252.99,0.7239,0.71547,1.08698,0.83742,0.6309,0.74622,0.56781,0.85325,0.94968,1.20191,0.000812,0.000812,0.000812
62,7371.91,0.71862,0.72556,1.0884,0.85916,0.6189,0.75162,0.57588,0.85056,0.93387,1.21156,0.0007922,0.0007922,0.0007922
63,7489.66,0.70198,0.70946,1.07444,0.83744,0.63516,0.74592,0.57022,0.84989,0.94279,1.19526,0.0007724,0.0007724,0.0007724
64,7608.57,0.69561,0.69784,1.06899,0.80957,0.6261,0.73909,0.5668,0.86389,0.98613,1.20721,0.0007526,0.0007526,0.0007526
65,7726.96,0.69143,0.68132,1.06427,0.78323,0.64612,0.74325,0.56162,0.85936,0.97421,1.20469,0.0007328,0.0007328,0.0007328
66,7844.8,0.68394,0.68236,1.0608,0.82527,0.6277,0.75673,0.58541,0.85033,0.90367,1.20171,0.000713,0.000713,0.000713
67,7964.22,0.6772,0.67215,1.05661,0.81558,0.6277,0.74801,0.58083,0.84683,0.94516,1.19087,0.0006932,0.0006932,0.0006932
68,8082.49,0.67592,0.6754,1.06048,0.82297,0.63891,0.75004,0.58057,0.83786,0.92662,1.18498,0.0006734,0.0006734,0.0006734
69,8200.73,0.68805,0.67259,1.06524,0.82255,0.6269,0.74792,0.5695,0.86642,0.94673,1.21634,0.0006536,0.0006536,0.0006536
70,8319.75,0.68732,0.68267,1.06178,0.79679,0.66133,0.75801,0.58172,0.84541,0.89611,1.19337,0.0006338,0.0006338,0.0006338
71,8437.98,0.66055,0.64811,1.04674,0.83763,0.63192,0.75434,0.58302,0.83898,0.91839,1.18948,0.000614,0.000614,0.000614
72,8555.94,0.66273,0.64811,1.05311,0.82112,0.64291,0.75513,0.58092,0.84164,0.92325,1.19528,0.0005942,0.0005942,0.0005942
73,8674.54,0.66157,0.6418,1.04855,0.82048,0.63811,0.75742,0.57878,0.85189,0.89949,1.20545,0.0005744,0.0005744,0.0005744
74,8793.14,0.66737,0.65198,1.05097,0.82198,0.63731,0.75417,0.57874,0.85526,0.91343,1.20626,0.0005546,0.0005546,0.0005546
75,8911.48,0.65891,0.64711,1.04469,0.76051,0.66533,0.7544,0.58454,0.84879,0.9041,1.19967,0.0005348,0.0005348,0.0005348
76,9030.4,0.64965,0.6473,1.04578,0.79809,0.64612,0.74826,0.57767,0.84716,0.94016,1.20102,0.000515,0.000515,0.000515
77,9148.64,0.65118,0.62901,1.03928,0.79564,0.64452,0.73375,0.56311,0.86918,0.95288,1.22772,0.0004952,0.0004952,0.0004952
78,9266.9,0.63457,0.60712,1.03158,0.84666,0.61448,0.74217,0.57735,0.84448,0.93791,1.20198,0.0004754,0.0004754,0.0004754
79,9385.63,0.63767,0.62088,1.03029,0.84428,0.62945,0.74555,0.5744,0.84846,0.93573,1.20443,0.0004556,0.0004556,0.0004556
80,9503.66,0.63178,0.60386,1.03191,0.8078,0.65733,0.75544,0.58223,0.83555,0.92582,1.20523,0.0004358,0.0004358,0.0004358
81,9622.08,0.62993,0.60207,1.02923,0.81728,0.63571,0.74902,0.57917,0.84763,0.93174,1.20968,0.000416,0.000416,0.000416
82,9744.76,0.63883,0.60623,1.04171,0.81139,0.6301,0.73931,0.56954,0.83973,0.96012,1.20005,0.0003962,0.0003962,0.0003962
83,9863.35,0.62328,0.60152,1.02216,0.8268,0.63826,0.74651,0.57439,0.8462,0.95319,1.19852,0.0003764,0.0003764,0.0003764
84,9982.42,0.61633,0.577,1.01631,0.79785,0.65653,0.74885,0.57382,0.85631,0.93621,1.21248,0.0003566,0.0003566,0.0003566
85,10100.8,0.61861,0.59825,1.02158,0.80237,0.64532,0.73895,0.56532,0.86506,0.95682,1.22351,0.0003368,0.0003368,0.0003368
86,10219.4,0.61049,0.57153,1.01535,0.8207,0.6197,0.73362,0.56902,0.84651,0.95767,1.21488,0.000317,0.000317,0.000317
87,10338.5,0.61274,0.58662,1.01722,0.80966,0.63687,0.73119,0.56796,0.84417,0.96809,1.20558,0.0002972,0.0002972,0.0002972
88,10457.5,0.60084,0.55174,1.012,0.83845,0.63578,0.74261,0.57837,0.82594,0.95246,1.19215,0.0002774,0.0002774,0.0002774
89,10575.4,0.60363,0.56244,1.01273,0.83007,0.63891,0.74169,0.57819,0.82707,0.95038,1.18852,0.0002576,0.0002576,0.0002576
90,10694.6,0.59741,0.54998,1.00566,0.83189,0.63171,0.74617,0.57838,0.82736,0.93452,1.19589,0.0002378,0.0002378,0.0002378
91,10814.1,0.52365,0.44804,0.95493,0.82853,0.63831,0.73613,0.56837,0.85323,0.97083,1.2164,0.000218,0.000218,0.000218
92,10932.3,0.51919,0.44872,0.94827,0.84356,0.6205,0.73653,0.57022,0.84823,0.95744,1.21575,0.0001982,0.0001982,0.0001982
93,11050.4,0.50278,0.4311,0.93573,0.8306,0.63597,0.74566,0.57824,0.84508,0.93264,1.21517,0.0001784,0.0001784,0.0001784
94,11168.3,0.49915,0.43063,0.93982,0.8087,0.65813,0.74363,0.57605,0.85586,0.93796,1.22672,0.0001586,0.0001586,0.0001586
95,11286.2,0.4978,0.43179,0.93513,0.83031,0.64131,0.74441,0.57418,0.85926,0.93464,1.22255,0.0001388,0.0001388,0.0001388
96,11405.1,0.4899,0.42258,0.93109,0.83124,0.64673,0.74429,0.57698,0.8542,0.92689,1.22114,0.000119,0.000119,0.000119
97,11522.9,0.48397,0.41337,0.9288,0.84429,0.63411,0.7417,0.57817,0.85035,0.92554,1.22736,9.92e-05,9.92e-05,9.92e-05
98,11640.9,0.48132,0.4082,0.92789,0.82377,0.65252,0.74444,0.58004,0.84484,0.9367,1.21853,7.94e-05,7.94e-05,7.94e-05
99,11759.8,0.48909,0.40925,0.92305,0.82259,0.64211,0.74298,0.57837,0.84227,0.94111,1.2162,5.96e-05,5.96e-05,5.96e-05
100,11878.2,0.47614,0.40472,0.92385,0.81496,0.64932,0.74438,0.57785,0.84513,0.93372,1.22319,3.98e-05,3.98e-05,3.98e-05
