epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4592.91,0.92636,1.07945,1.17764,0.67865,0.67261,0.72959,0.54893,0.87924,0.98409,1.18217,0.000848969,0.000848969,0.000848969
43,4701.34,0.91465,1.06953,1.1742,0.6364,0.6846,0.70524,0.5285,0.88527,0.9986,1.17734,0.000834822,0.000834822,0.000834822
44,4809.68,0.91344,1.06555,1.16903,0.64992,0.70353,0.71616,0.53872,0.88457,0.9782,1.18128,0.000820675,0.000820675,0.000820675
45,4917.33,0.90895,1.03954,1.16334,0.6718,0.68577,0.73204,0.55381,0.87778,0.95845,1.1781,0.000806528,0.000806528,0.000806528
46,5026.42,0.90245,1.04411,1.16228,0.66674,0.67904,0.71806,0.54174,0.87702,0.97012,1.1649,0.00079238,0.00079238,0.00079238
47,5134.91,0.90021,1.03776,1.15828,0.67121,0.69461,0.73092,0.55134,0.87336,0.96831,1.17181,0.000778233,0.000778233,0.000778233
48,5243.37,0.87941,1.02075,1.15146,0.66387,0.70212,0.74089,0.56479,0.86035,0.94684,1.15877,0.000764086,0.000764086,0.000764086
49,5353.52,0.89075,1.02058,1.15439,0.67232,0.6919,0.73608,0.55918,0.86595,0.94508,1.16225,0.000749939,0.000749939,0.000749939
50,5462.02,0.88934,1.01192,1.1515,0.68361,0.68503,0.73545,0.56273,0.86122,0.93984,1.15725,0.000735792,0.000735792,0.000735792
51,5571.21,0.87937,1.00998,1.14507,0.67351,0.69226,0.73721,0.56325,0.87642,0.94404,1.17287,0.000721645,0.000721645,0.000721645
52,5680.25,0.87062,0.997,1.13933,0.66193,0.72128,0.7424,0.56185,0.86508,0.94054,1.1632,0.000707498,0.000707498,0.000707498
53,5788.05,0.87052,0.98589,1.14181,0.69179,0.68764,0.74133,0.56335,0.87163,0.94131,1.16177,0.000693351,0.000693351,0.000693351
54,5897.55,0.8668,0.96959,1.13242,0.6699,0.70245,0.73998,0.56242,0.85793,0.93199,1.15362,0.000679204,0.000679204,0.000679204
55,6007.7,0.85738,0.97263,1.13064,0.68756,0.68582,0.74311,0.57043,0.85617,0.92255,1.15288,0.000665057,0.000665057,0.000665057
56,6121.4,0.85541,0.94392,1.12489,0.67311,0.7012,0.74662,0.5704,0.84914,0.92352,1.14892,0.000650909,0.000650909,0.000650909
57,6230.59,0.84943,0.95314,1.1213,0.6721,0.69943,0.74576,0.57109,0.85519,0.92151,1.15569,0.000636762,0.000636762,0.000636762
58,6339.69,0.84642,0.9403,1.11857,0.68037,0.70368,0.7475,0.57418,0.85211,0.91928,1.14908,0.000622615,0.000622615,0.000622615
59,6447.3,0.84134,0.92747,1.1209,0.67671,0.71057,0.74609,0.5716,0.84945,0.91483,1.15052,0.000608468,0.000608468,0.000608468
60,6555.52,0.84057,0.92585,1.11512,0.68617,0.70373,0.74904,0.57443,0.85575,0.91795,1.15496,0.000594321,0.000594321,0.000594321
61,6664.62,0.83967,0.92184,1.11764,0.6802,0.70756,0.75493,0.58253,0.84158,0.90498,1.14475,0.000580174,0.000580174,0.000580174
62,6772.49,0.8332,0.91723,1.1147,0.67676,0.7042,0.74836,0.57748,0.8417,0.9119,1.14534,0.000566027,0.000566027,0.000566027
63,6880.36,0.82995,0.9103,1.10972,0.6942,0.69048,0.74983,0.57771,0.84313,0.90918,1.13881,0.00055188,0.00055188,0.00055188
64,6988.94,0.82487,0.89927,1.10936,0.66252,0.72136,0.74781,0.57654,0.84075,0.90376,1.15216,0.000537733,0.000537733,0.000537733
65,7096.61,0.81743,0.89494,1.10273,0.69155,0.71329,0.75955,0.58746,0.8311,0.89559,1.13693,0.000523586,0.000523586,0.000523586
66,7204.77,0.81773,0.88931,1.10258,0.71282,0.6977,0.76085,0.58671,0.84286,0.89241,1.14717,0.000509438,0.000509438,0.000509438
67,7313.85,0.81188,0.88557,1.09983,0.69584,0.71607,0.75929,0.58654,0.83233,0.89576,1.13811,0.000495291,0.000495291,0.000495291
